Team,Win_Ratio,Conference,Avg_Points_Scored,Avg_Points_Allowed,Avg_Attendance
Adelaide 36ers,,Desconocida,,,
Anderson Packers,,Desconocida,,,
Athens Olympiacos,,Desconocida,,,
Atlanta Hawks,0.49581614917924016,Este,102.98078646081089,103.27364716640419,13574.890962505493
Baltimore Bullets,0.4798604971018764,Desconocida,108.20606149916495,108.72605363984675,6269.064474916958
Barcelona Regal FC,,Desconocida,,,
Bauru Paschoalotto/Bauru,,Desconocida,,,
Belegrade Partizan,,Desconocida,,,
Boston Celtics,,Este,,,
Brisbane Bullets,,Desconocida,,,
Brooklyn Nets,0.45702228777450016,Este,106.93436893326273,108.45074754809268,16379.702849605996
Buenos Aires San Lorenzo,,Desconocida,,,
Buffalo Braves,0.3969564240790656,Desconocida,106.21372416891285,110.12011455525607,8590.619570602808
Capital Bullets,0.5229390681003584,Desconocida,101.98602150537636,101.2695340501792,8640.971247563353
Charlotte Bobcats,0.3712242230612838,Desconocida,94.63248297673218,98.42978507115888,15701.966612707407
Charlotte Hornets,0.4703806024339774,Este,102.77043533689675,104.08802489121355,17732.050355561496
Chicago Bulls,0.5142619159032816,Este,102.28395500208674,101.8409073450313,16107.939820687647
Chicago Stags,,Desconocida,,,
Chicago Zephyrs,0.3263157894736842,Desconocida,110.26052631578946,113.52105263157895,4190.984126984127
Cincinnati Royals,0.46067245690222397,Desconocida,112.5524476904856,113.97889853928149,5806.619321190299
Cleveland Cavaliers,,Este,,,
Cleveland Rebels,,Desconocida,,,
Dallas Mavericks,0.5013418754510155,Oeste,103.50513424089999,103.61110138495953,16406.962383774484
Denver Nuggets,0.4896168764637002,Oeste,107.49224238875878,108.09311420521078,15084.183861034246
Detroit Falcons,,Desconocida,,,
Detroit Pistons,0.48268614666267123,Este,103.18014310339345,103.71464959806369,14638.120300387596
Flamengo Flamengo,,Desconocida,,,
Ft. Wayne Zollner Pistons,0.48723051409618573,Desconocida,84.72636815920399,85.46206647919821,3922.8055555555557
