PLAYER_NAME,SEASON,SEASON_NUM,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURED_TYPE,Date,Team,Notes,Out Indefinitely,injury_type,body_part,Injured,year,month,lower body injury,first_name,last_name,id,full_name,is_active
Aaron Gordon,19-20,19.5,24.0,80.0,235.0,62,32.5,0.205,99.72,4182,12.4,4.8,2.0,1.7,2.43,4.2,3.5,1.1,53.0,29.4,2.88,1.91,1.8,3.2,4.3,,,,,,,,,0,,,0,,,0,Aaron,Gordon,203932,Aaron Gordon,1
Abdel Nader,19-20,19.5,26.0,77.0,225.0,55,15.8,0.164,101.79,1835,4.8,3.0,1.3,1.1,1.22,4.32,0.6,0.1,15.6,11.1,2.05,1.41,0.2,0.0,0.4,Thunder,2020-01-15,2020-01-29,14.0,Sprained_ankle,2020-01-14,Thunder,sprained left ankle (DTD),0,ankle,Leg,1,2020.0,1.0,0,Abdel,Nader,1627846,Abdel Nader,0
Abdel Nader,19-20,19.5,26.0,77.0,225.0,55,15.8,0.164,101.79,1835,4.8,3.0,1.3,1.1,1.22,4.32,0.6,0.1,15.6,11.1,2.05,1.41,0.2,0.0,0.4,Thunder,2020-01-15,2020-01-29,14.0,Sprained_ankle,2020-08-14,Thunder,placed on IL with neck injury,0,neck,Head,1,2020.0,8.0,0,Abdel,Nader,1627846,Abdel Nader,0
Adam Mokoka,19-20,19.5,21.0,77.0,190.0,11,10.2,0.11,100.37,238,2.5,1.1,0.6,0.4,0.79,4.24,0.0,0.0,10.2,7.1,1.47,0.83,0.2,0.0,0.8,,,,,,,,,0,,,0,,,0,Adam,Mokoka,1629690,Adam Mokoka,0
Admiral Schofield,19-20,19.5,23.0,77.0,241.0,33,11.2,0.118,103.13,791,2.8,0.4,0.1,0.2,0.82,4.19,0.2,0.1,15.7,8.3,1.4,0.51,0.2,0.2,0.6,,,,,,,,,0,,,0,,,0,Admiral,Schofield,1629678,Admiral Schofield,1
Al Horford,19-20,19.5,34.0,81.0,240.0,67,30.2,0.173,100.63,4241,10.6,1.4,0.6,0.6,2.09,3.95,0.9,0.2,55.1,35.9,1.81,0.63,5.2,4.3,3.7,76ers,2020-08-11,2020-08-12,1.0,Sore_knee,2019-12-12,76ers,sore left knee (DTD),0,knee,Leg,1,2019.0,12.0,0,Al,Horford,201143,Al Horford,1
Al-Farouq Aminu,19-20,19.5,29.0,80.0,220.0,18,21.1,0.127,100.15,797,4.8,2.3,0.8,1.1,1.66,4.39,0.2,0.1,36.3,16.3,1.91,0.88,0.7,1.0,1.9,,,,,,,,,0,,,0,,,0,Al-Farouq,Aminu,202329,Al-Farouq Aminu,0
Alec Burks,19-20,19.5,28.0,78.0,214.0,66,26.6,0.23,101.88,3729,11.6,6.6,3.3,1.8,1.93,4.12,5.1,2.5,51.8,28.4,3.55,2.92,0.7,0.4,1.0,Warriors,2019-10-24,2019-10-30,6.0,Sprained_ankle,2019-10-24,Warriors,placed on IL with sprained right ankle,0,ankle,Leg,1,2019.0,10.0,0,Alec,Burks,202692,Alec Burks,1
Alen Smailagic,19-20,19.5,19.0,82.0,215.0,14,9.9,0.175,104.89,304,2.9,1.6,0.6,0.4,0.78,4.39,0.1,0.0,13.8,8.6,2.27,1.02,0.4,1.3,1.4,,,,,,,,,0,,,0,,,0,Alen,Smailagic,1629346,Alen Smailagic,0
Alex Caruso,19-20,19.5,26.0,77.0,186.0,64,18.4,0.136,102.84,2518,4.5,3.2,1.3,1.3,1.41,4.29,1.0,0.5,31.2,13.5,3.45,2.85,0.4,0.0,0.8,,,,,,,,,0,,,0,,,0,Alex,Caruso,1627936,Alex Caruso,1
Alex Len,19-20,19.5,27.0,84.0,250.0,55,17.6,0.176,104.7,2119,5.8,0.4,0.3,0.1,1.32,4.16,0.1,0.0,31.2,17.0,1.52,0.52,2.3,0.8,5.4,Hawks,2020-01-14,2020-01-22,8.0,Sore_lower_back,2019-12-27,Hawks,placed on IL with sprained left ankle,0,ankle,Leg,1,2019.0,12.0,0,Alex,Len,203458,Alex Len,1
Alex Len,19-20,19.5,27.0,84.0,250.0,55,17.6,0.176,104.7,2119,5.8,0.4,0.3,0.1,1.32,4.16,0.1,0.0,31.2,17.0,1.52,0.52,2.3,0.8,5.4,Hawks,2020-01-14,2020-01-22,8.0,Sore_lower_back,2020-01-14,Hawks,placed on IL with sore lower back,0,back,Back,1,2020.0,1.0,0,Alex,Len,203458,Alex Len,1
Alex Len,19-20,19.5,27.0,84.0,250.0,55,17.6,0.176,104.7,2119,5.8,0.4,0.3,0.1,1.32,4.16,0.1,0.0,31.2,17.0,1.52,0.52,2.3,0.8,5.4,Hawks,2020-01-14,2020-01-22,8.0,Sore_lower_back,2020-01-25,Hawks,right hip flexor injury (DTD),0,hip and flexor,Others,1,2020.0,1.0,0,Alex,Len,203458,Alex Len,1
Alfonzo McKinnie,19-20,19.5,27.0,79.0,215.0,40,14.8,0.147,101.43,1254,4.3,1.5,1.0,0.3,1.15,4.41,0.6,0.2,17.2,9.3,1.77,0.91,0.3,0.1,1.5,,,,,,,,,0,,,0,,,0,Alfonzo,McKinnie,1628035,Alfonzo McKinnie,0
Alize Johnson,19-20,19.5,24.0,79.0,212.0,17,6.9,0.133,105.6,260,1.7,0.9,0.4,0.4,0.52,4.51,0.2,0.0,9.5,4.6,1.84,0.71,0.3,0.1,1.2,,,,,,,,,0,,,0,,,0,Alize,Johnson,1628993,Alize Johnson,1
Allen Crabbe,19-20,19.5,28.0,77.0,212.0,37,17.6,0.122,106.22,1443,4.8,1.6,0.7,0.6,1.31,4.13,1.0,0.4,19.1,13.5,1.43,0.57,0.2,0.0,0.4,,,,,,,,,0,,,0,,,0,Allen,Crabbe,203459,Allen Crabbe,0
Allonzo Trier,19-20,19.5,24.0,76.0,200.0,24,12.1,0.208,102.19,618,4.4,3.1,0.9,1.6,0.91,4.18,2.2,1.1,19.3,11.3,3.98,3.3,0.2,0.0,0.2,,,,,,,,,0,,,0,,,0,Allonzo,Trier,1629019,Allonzo Trier,0
Amile Jefferson,19-20,19.5,27.0,81.0,222.0,18,4.1,0.129,101.71,160,0.8,0.2,0.1,0.0,0.32,4.45,0.1,,6.2,2.7,1.89,0.62,0.2,0.2,0.8,,,,,,,,,0,,,0,,,0,Amile,Jefferson,1628518,Amile Jefferson,0
Amir Coffey,19-20,19.5,23.0,79.0,210.0,18,8.8,0.174,104.61,345,3.0,1.8,1.1,0.6,0.65,4.09,0.8,0.3,11.1,6.4,3.6,2.88,0.1,0.0,0.3,,,,,,,,,0,,,0,,,0,Amir,Coffey,1629599,Amir Coffey,1
Andre Drummond,19-20,19.5,26.0,82.0,279.0,57,33.0,0.253,98.8,3867,13.8,3.5,1.8,0.8,2.26,3.86,0.4,0.1,63.9,36.5,2.33,1.32,5.5,4.7,11.7,,,,,,,,,0,,,0,,,0,Andre,Drummond,203083,Andre Drummond,1
Andre Iguodala,19-20,19.5,36.0,78.0,215.0,21,19.9,0.121,103.94,902,4.2,1.1,0.3,0.7,1.51,4.21,0.8,0.2,30.8,16.0,2.76,1.71,0.9,0.7,1.7,,,,,,,,,0,,,0,,,0,Andre,Iguodala,2738,Andre Iguodala,1
Andre Roberson,19-20,19.5,28.0,79.0,210.0,7,12.4,0.145,104.59,189,4.1,0.9,0.6,0.3,0.99,4.4,0.3,0.3,15.9,9.9,1.76,0.87,0.1,0.1,1.4,Thunder,2019-10-23,2020-07-31,282.0,Knee_injury,2019-10-22,Thunder,left knee injury (out indefinitely),1,knee,Leg,1,2019.0,10.0,0,Andre,Roberson,203460,Andre Roberson,0
Andre Roberson,19-20,19.5,28.0,79.0,210.0,7,12.4,0.145,104.59,189,4.1,0.9,0.6,0.3,0.99,4.4,0.3,0.3,15.9,9.9,1.76,0.87,0.1,0.1,1.4,Thunder,2019-10-23,2020-07-31,282.0,Knee_injury,2019-10-23,Thunder,placed on IL with left knee injury,0,knee,Leg,1,2019.0,10.0,0,Andre,Roberson,203460,Andre Roberson,0
Andre Roberson,19-20,19.5,28.0,79.0,210.0,7,12.4,0.145,104.59,189,4.1,0.9,0.6,0.3,0.99,4.4,0.3,0.3,15.9,9.9,1.76,0.87,0.1,0.1,1.4,Thunder,2019-10-23,2020-07-31,282.0,Knee_injury,2020-08-09,Thunder,placed on IL with sore right ankle,0,ankle,Leg,1,2020.0,8.0,0,Andre,Roberson,203460,Andre Roberson,0
Andrew Wiggins,19-20,19.5,25.0,79.0,197.0,54,34.4,0.269,103.46,4008,18.1,14.1,6.9,4.7,2.51,4.07,6.0,2.4,65.7,41.0,3.7,2.94,0.8,1.0,2.3,,,,,,,,,0,,,0,,,0,Andrew,Wiggins,203952,Andrew Wiggins,1
Anfernee Simons,19-20,19.5,21.0,75.0,181.0,70,20.7,0.18,103.09,3106,7.7,3.7,2.2,0.8,1.63,4.4,3.2,1.2,30.5,13.4,3.88,3.36,0.2,0.0,0.5,,,,,,,,,0,,,0,,,0,Anfernee,Simons,1629014,Anfernee Simons,1
Ante Zizic,19-20,19.5,23.0,82.0,266.0,22,10.0,0.168,101.71,471,3.3,0.0,0.0,0.0,0.73,4.04,0.0,,13.8,7.7,1.63,0.48,1.7,1.2,3.7,,,,,,,,,0,,,0,,,0,Ante,Zizic,1627790,Ante Zizic,0
Anthony Davis,19-20,19.5,27.0,82.0,253.0,62,34.4,0.284,102.47,4556,17.7,3.6,1.8,0.8,2.28,3.73,3.6,0.3,64.1,42.0,2.34,1.11,3.3,8.8,7.4,Lakers,2020-08-13,2020-08-18,5.0,Sore_knee,2019-11-13,Lakers,placed on IL with sore right shoulder,0,shoulder,Upper Body,1,2019.0,11.0,0,Anthony,Davis,203076,Anthony Davis,1
Anthony Davis,19-20,19.5,27.0,82.0,253.0,62,34.4,0.284,102.47,4556,17.7,3.6,1.8,0.8,2.28,3.73,3.6,0.3,64.1,42.0,2.34,1.11,3.3,8.8,7.4,Lakers,2020-08-13,2020-08-18,5.0,Sore_knee,2019-12-17,Lakers,placed on IL with sprained right ankle,0,ankle,Leg,1,2019.0,12.0,0,Anthony,Davis,203076,Anthony Davis,1
Anthony Davis,19-20,19.5,27.0,82.0,253.0,62,34.4,0.284,102.47,4556,17.7,3.6,1.8,0.8,2.28,3.73,3.6,0.3,64.1,42.0,2.34,1.11,3.3,8.8,7.4,Lakers,2020-08-13,2020-08-18,5.0,Sore_knee,2020-01-10,Lakers,placed on IL with bruised tailbone,0,tailbone and tailbone,Others,1,2020.0,1.0,0,Anthony,Davis,203076,Anthony Davis,1
Anthony Davis,19-20,19.5,27.0,82.0,253.0,62,34.4,0.284,102.47,4556,17.7,3.6,1.8,0.8,2.28,3.73,3.6,0.3,64.1,42.0,2.34,1.11,3.3,8.8,7.4,Lakers,2020-08-13,2020-08-18,5.0,Sore_knee,2020-03-01,Lakers,sore right knee (DTD),0,knee,Leg,1,2020.0,3.0,0,Anthony,Davis,203076,Anthony Davis,1
Anthony Davis,19-20,19.5,27.0,82.0,253.0,62,34.4,0.284,102.47,4556,17.7,3.6,1.8,0.8,2.28,3.73,3.6,0.3,64.1,42.0,2.34,1.11,3.3,8.8,7.4,Lakers,2020-08-13,2020-08-18,5.0,Sore_knee,2020-08-25,Lakers,back spasms (DTD),0,back,Back,1,2020.0,8.0,0,Anthony,Davis,203076,Anthony Davis,1
Anthony Tolliver,19-20,19.5,35.0,80.0,240.0,55,15.9,0.108,103.58,1886,3.3,0.4,0.2,0.1,1.17,4.12,0.2,0.1,19.0,10.5,1.39,0.31,0.5,0.1,0.9,,,,,,,,,0,,,0,,,0,Anthony,Tolliver,201229,Anthony Tolliver,0
Antonius Cleveland,19-20,19.5,26.0,77.0,195.0,11,4.2,0.159,101.8,95,1.3,0.7,0.5,0.1,0.3,4.15,0.3,0.0,4.3,2.4,2.4,1.74,0.1,0.0,0.4,,,,,,,,,0,,,0,,,0,Antonius,Cleveland,1628499,Antonius Cleveland,0
Anzejs Pasecniks,19-20,19.5,24.0,86.0,229.0,27,16.2,0.151,104.65,950,4.3,0.2,0.1,0.0,1.25,4.33,0.0,0.0,28.4,16.2,1.45,0.4,1.7,0.4,4.0,,,,,,,,,0,,,0,,,0,Anzejs,Pasecniks,1628394,Anzejs Pasecniks,0
Aron Baynes,19-20,19.5,33.0,82.0,260.0,42,22.2,0.205,103.02,1998,9.1,0.5,0.3,0.1,1.56,3.95,0.2,0.0,35.9,23.4,1.44,0.33,2.7,1.2,5.2,,,,,,,,,0,,,0,,,0,Aron,Baynes,203382,Aron Baynes,0
Austin Rivers,19-20,19.5,27.0,75.0,200.0,68,23.4,0.153,105.87,3512,7.4,5.3,2.6,1.8,1.65,3.94,1.6,1.4,31.8,17.1,3.33,2.74,0.2,0.0,0.4,,,,,,,,,0,,,0,,,0,Austin,Rivers,203085,Austin Rivers,1
Avery Bradley,19-20,19.5,29.0,75.0,180.0,49,24.2,0.153,103.08,2546,7.8,1.8,0.8,0.7,1.88,4.36,2.2,0.4,28.5,19.1,2.13,1.62,0.4,0.0,1.2,,,,,,,,,0,,,0,,,0,Avery,Bradley,202340,Avery Bradley,0
BJ Johnson,19-20,19.5,24.0,79.0,200.0,10,8.3,0.201,108.13,189,3.2,0.8,0.5,0.0,0.66,4.42,1.4,0.1,8.4,5.5,3.12,2.13,0.2,0.0,0.5,,,,,,,,,0,,,0,,,0,BJ,Johnson,1629168,BJ Johnson,0
Bam Adebayo,19-20,19.5,22.0,81.0,255.0,72,33.6,0.212,98.36,4952,11.0,4.4,2.1,1.2,2.41,4.02,1.1,0.1,65.6,39.7,2.73,1.46,7.8,3.2,7.9,Heat,2020-08-14,2020-08-18,4.0,Sore_knee,2020-08-14,Heat,placed on IL with sore right knee,0,knee,Leg,1,2020.0,8.0,0,Bam,Adebayo,1628389,Bam Adebayo,1
Bam Adebayo,19-20,19.5,22.0,81.0,255.0,72,33.6,0.212,98.36,4952,11.0,4.4,2.1,1.2,2.41,4.02,1.1,0.1,65.6,39.7,2.73,1.46,7.8,3.2,7.9,Heat,2020-08-14,2020-08-18,4.0,Sore_knee,2020-09-30,Heat,strained left shoulder (DTD),0,shoulder,Upper Body,1,2020.0,9.0,0,Bam,Adebayo,1628389,Bam Adebayo,1
Bam Adebayo,19-20,19.5,22.0,81.0,255.0,72,33.6,0.212,98.36,4952,11.0,4.4,2.1,1.2,2.41,4.02,1.1,0.1,65.6,39.7,2.73,1.46,7.8,3.2,7.9,Heat,2020-08-14,2020-08-18,4.0,Sore_knee,2020-10-02,Heat,strained neck (DTD),0,neck,Head,1,2020.0,10.0,0,Bam,Adebayo,1628389,Bam Adebayo,1
Ben McLemore,19-20,19.5,27.0,75.0,195.0,71,22.8,0.157,105.17,3552,7.7,1.1,0.4,0.4,1.71,4.28,0.9,0.9,26.3,15.8,1.37,0.55,0.5,0.0,0.7,,,,,,,,,0,,,0,,,0,Ben,McLemore,203463,Ben McLemore,0
Ben Simmons,19-20,19.5,23.0,82.0,240.0,57,35.4,0.206,101.09,4242,11.4,11.9,3.8,6.4,2.53,4.01,0.7,0.1,90.5,30.0,4.66,3.75,2.9,3.6,5.7,,,,,,,,,0,,,0,,,0,Ben,Simmons,1627732,Ben Simmons,1
