PLAYER_ID,PLAYER_NAME,SEASON,SEASON_NUM,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURED_TYPE
1630639,A.J. Lawson,22-23,22.5,22.0, 78, 179,13,4.8,0.182,106.08,139,2.0,0.1,0.0,0.1,0.39,4.49,0.2, 0.1,4.8,3.2,1.39,0.62,0.0,0.0,0.2,,,,,
1631260,AJ Green,22-23,22.5,23.0, 77, 190,32,9.4,0.16,102.85,651,3.4,0.3,0.0,0.3,0.74,4.36,1.1, 0.7,11.9,7.3,2.61,1.84,0.1,0.0,0.3,,,,,
1631100,AJ Griffin,22-23,22.5,19.0, 78, 220,66,19.4,0.174,102.71,2749,7.4,2.8,1.8,0.7,1.58,4.56,2.5, 0.8,21.1,14.2,2.08,1.49,0.4,0.0,0.7,,,,,
203932,Aaron Gordon,22-23,22.5,27.0, 80, 235,61,30.1,0.206,100.06,3828,11.0,3.2,1.5,0.8,2.14,3.99,1.6, 0.9,41.7,23.3,2.94,2.11,1.8,2.1,6.8,Nuggets,2023-02-02,2023-02-07,5,Sprained_ankle
1628988,Aaron Holiday,22-23,22.5,26.0, 72, 185,57,13.7,0.128,103.64,1680,3.5,3.4,1.3,1.7,1.05,4.28,1.0, 0.3,20.6,8.0,4.17,3.82,0.1,0.0,0.4,,,,,
1630174,Aaron Nesmith,22-23,22.5,23.0, 77, 215,66,24.6,0.17,101.82,3441,8.0,3.9,1.7,1.4,1.92,4.38,1.1, 0.5,34.7,19.9,1.67,0.8,0.4,0.0,1.1,Pacers,2022-12-23,2022-12-26,3,Sprained_ankle
1630598,Aaron Wiggins,22-23,22.5,24.0, 77, 190,62,18.3,0.142,102.56,2410,5.0,2.9,1.2,1.1,1.48,4.55,0.3, 0.1,20.7,13.1,1.96,1.32,0.5,0.0,2.1,,,,,
1629678,Admiral Schofield,22-23,22.5,25.0, 77, 241,31,11.9,0.127,100.0,765,3.1,0.8,0.5,0.1,0.91,4.3,0.2, 0.1,18.1,8.5,1.7,0.8,0.5,0.0,1.0,,,,,
201143,Al Horford,22-23,22.5,36.0, 81, 240,58,30.8,0.116,99.68,3715,7.5,1.4,0.5,0.8,2.16,3.94,0.3, 0.1,46.2,25.6,1.53,0.47,1.1,0.9,2.8,,,,,
202692,Alec Burks,22-23,22.5,31.0, 78, 214,51,22.0,0.218,103.25,2422,9.0,4.8,2.1,1.7,1.59,4.04,4.6, 2.2,34.6,21.2,3.03,2.34,0.3,0.3,0.4,,,,,
1630197,Aleksej Pokusevski,22-23,22.5,21.0, 84, 210,31,21.9,0.179,103.87,1465,7.8,2.8,1.2,1.1,1.67,4.31,0.6, 0.2,44.4,24.2,1.6,0.75,1.6,0.0,3.4,,,,,
1627936,Alex Caruso,22-23,22.5,29.0, 77, 186,60,23.9,0.109,99.84,2982,4.3,2.4,0.6,1.3,1.87,4.36,0.4, 0.2,43.8,18.2,2.62,1.86,0.8,0.0,1.3,,,,,
203458,Alex Len,22-23,22.5,29.0, 86, 250,18,3.2,0.15,116.27,141,0.7,0.1,0.1,0.1,0.25,4.22,0.1, 0.0,5.8,3.2,1.53,0.42,1.1,0.0,0.7,,,,,
1628993,Alize Johnson,22-23,22.5,26.0, 80, 212,4,7.4,0.145,102.45,63,1.5,1.0,0.3,0.5,0.61,4.52,0.3, 0.3,11.5,5.5,2.7,1.98,0.0,0.3,1.0,,,,,
1631214,Alondes Williams,22-23,22.5,23.0, 76, 210,1,5.3,0.143,104.81,12,0.0,0.0,0.0,0.0,0.41,4.27,0.0, None,9.0,3.0,2.72,2.0,0.0,0.0,0.0,,,,,
1630578,Alperen Sengun,22-23,22.5,20.0, 83, 243,67,28.5,0.212,99.74,3998,10.5,4.4,2.0,1.4,1.95,3.85,0.5, 0.1,54.9,38.1,2.44,1.26,5.0,4.3,6.9,,,,,
1629599,Amir Coffey,22-23,22.5,25.0, 79, 210,46,13.0,0.127,101.34,1264,3.1,2.3,1.3,0.7,0.94,4.03,0.8, 0.1,14.1,10.3,2.51,1.69,0.1,0.0,0.3,,,,,
203083,Andre Drummond,22-23,22.5,29.0, 83, 279,60,12.7,0.198,101.82,1608,4.1,0.3,0.2,0.0,0.93,4.05,0.0, 0.0,17.6,10.9,1.42,0.48,1.6,0.4,4.4,,,,,
2738,Andre Iguodala,22-23,22.5,39.0, 78, 215,8,14.1,0.089,108.74,257,1.9,0.9,0.1,0.6,1.01,4.15,0.1, 0.1,24.4,13.3,1.76,0.68,0.7,0.0,1.3,,,,,
